r_p	w_rp	error
1.403984063749947886e-01 2.387937438248289084e+02 2.098729499171265545e+01
2.564391897830904932e-01 1.642318949984859273e+02 1.440102727494335966e+01
4.663242962874520892e-01 1.151534193957682959e+02 1.073850714546074414e+01
8.448224941143616107e-01 7.395082030213013979e+01 7.956925895902977608e+00
1.535260739978999478e+00 4.426924710435380916e+01 5.962806318144888706e+00
2.801508218321832722e+00 2.594119845834479321e+01 4.666492823357251574e+00
5.123092541322312954e+00 1.517213260661236163e+01 3.841214590298537068e+00
9.372397782372310360e+00 8.396508335367730780e+00 3.267948298728023726e+00
1.715234489884495162e+01 4.160931014030485819e+00 2.875515725873593276e+00
3.134764050844135497e+01 1.949864091758070295e+00 2.621259553254703167e+00
